group,config,embedding,repeat,status,condition_number,pushforward,k,n_samples,theiler_w,noise_level,E_star_k,CondVar,PredErr,MeanDisp,NeighborDisp,median_rk,q90_rk,mean_rk,n_queries,not_enough_queries
baseline,baseline,y_z_y,6,ok,55.35812478627791,20,50,5000,30,0.0,4.602541383173738,374.1322585385334,4.558211710282598,4.732825326845087,5.526970621370875,0.06633646116847391,0.9160319590758386,0.5477512106950735,5000,0
baseline,baseline,y_z_y,7,ok,55.35812478627791,20,50,5000,30,0.0,4.801671199752214,398.59047526103865,4.820501576702701,4.946140376151024,5.748629191869892,0.06585271803486142,0.9334342686853536,0.5437159168112751,5000,0
baseline,baseline,y_z_y,8,ok,55.35812478627791,20,50,5000,30,0.0,4.836880546071412,398.45824709453393,4.757065676724224,4.9817672404427995,5.808030993179507,0.06631204222160927,0.9790121615511425,0.5767793284342789,5000,0
baseline,baseline,y_z_y,9,ok,55.35812478627791,20,50,5000,30,0.0,4.652018790019262,378.3159578644112,4.711546373328662,4.785136772925776,5.581352369399303,0.06585371772782445,0.9457239185865318,0.5496839040009185,5000,0
baseline,baseline,x_y_x,0,ok,3.5968374195681707,20,50,5000,30,0.0,0.04630272537453829,0.005488130089934236,0.0371461534332015,0.04696889153738607,0.06343746789969898,0.06568357347985454,0.17019455678293402,0.08688883144831706,5000,0
baseline,baseline,x_y_x,1,ok,3.5968374195681707,20,50,5000,30,0.0,0.04554305081362839,0.0051608322069585785,0.03679758604262023,0.04613632477296396,0.06238822764882607,0.06482321830851598,0.16932181598464202,0.0861014506294174,5000,0
baseline,baseline,x_y_x,2,ok,3.5968374195681707,20,50,5000,30,0.0,0.045549080945159304,0.005282446543254916,0.03825739168385259,0.046141418033956855,0.062437526081222106,0.06567176033604025,0.16949737634852016,0.08722623622511529,5000,0
baseline,baseline,x_y_x,3,ok,3.5968374195681707,20,50,5000,30,0.0,0.04511140946506111,0.004923551091749502,0.037714187562586786,0.045713100708131525,0.06179695852586713,0.06564823098858413,0.16835918341876133,0.08666541694791995,5000,0
baseline,baseline,x_y_x,4,ok,3.5968374195681707,20,50,5000,30,0.0,0.04568142040574032,0.005002106881484809,0.036413923803954584,0.04623528878477861,0.06258616431380884,0.06558664925530146,0.16706117253935904,0.08580179717282288,5000,0
baseline,baseline,x_y_x,5,ok,3.5968374195681707,20,50,5000,30,0.0,0.044720249617894295,0.004624148842962258,0.03587569397396195,0.045284256722413097,0.06122957699450128,0.06573233831348278,0.1647545691659773,0.08573021790045106,5000,0
baseline,baseline,x_y_x,6,ok,3.5968374195681707,20,50,5000,30,0.0,0.04531698154931336,0.005018614000308621,0.03700229936443459,0.04587822830425854,0.062156184063522094,0.06577209393219782,0.168155668500921,0.0861651490756506,5000,0
baseline,baseline,x_y_x,7,ok,3.5968374195681707,20,50,5000,30,0.0,0.04496300789707234,0.005261571514771495,0.036144566538915915,0.045549490091035726,0.06165081327952927,0.06526539794355671,0.1649067933827884,0.08517044521374194,5000,0
baseline,baseline,x_y_x,8,ok,3.5968374195681707,20,50,5000,30,0.0,0.04629292168535462,0.005911673929571255,0.036729609841659815,0.04695418572346743,0.0633036895753148,0.06564096611049648,0.165729494250074,0.08663169667579002,5000,0
baseline,baseline,x_y_x,9,ok,3.5968374195681707,20,50,5000,30,0.0,0.04527912068419178,0.0052204880164811625,0.03539074659407334,0.04591112764950328,0.06206980752119016,0.06540519810409359,0.16411449172482648,0.08508734096676879,5000,0
baseline,baseline,x_y_y,0,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,x_y_y,1,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,x_y_y,2,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,x_y_y,3,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,x_y_y,4,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,x_y_y,5,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,x_y_y,6,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,x_y_y,7,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,x_y_y,8,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,x_y_y,9,rank_deficient,inf,20,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,,
baseline,baseline,y_z_z,0,ok,260.9603612567652,20,50,5000,30,0.0,12.42583802667306,5387.860896909735,12.803084373907675,13.397218462882174,17.720057167941334,0.08349907115300392,8.541123748984651,7.291666485003755,5000,0
baseline,baseline,y_z_z,1,ok,260.9603612567652,20,50,5000,30,0.0,12.00378354646877,5348.502133946171,12.500825078226034,12.98735573920482,17.084723157468183,0.07799705130518735,7.62032799036594,7.160030873426536,5000,0
baseline,baseline,y_z_z,2,ok,260.9603612567652,20,50,5000,30,0.0,12.088973818810247,5020.347915668203,13.360815883914835,13.003892259586301,17.2064905738841,0.08518658142549188,8.540439210547605,7.219644044594778,5000,0
baseline,baseline,y_z_z,3,ok,260.9603612567652,20,50,5000,30,0.0,11.869554912123727,4932.367246826721,12.63927091898546,12.703353673352549,16.91001734566006,0.08332927347899005,6.9075303069982645,6.820309497995992,5000,0
baseline,baseline,y_z_z,4,ok,260.9603612567652,20,50,5000,30,0.0,12.038071487467166,5014.349775948453,12.536680865806996,12.881527874240788,17.091130384132963,0.0813802642397734,7.50086568863925,7.014039239608489,5000,0
baseline,baseline,y_z_z,5,ok,260.9603612567652,20,50,5000,30,0.0,11.333214904647686,4937.830564844444,11.126815497988133,12.126115304514583,16.13933769366545,0.08354699918804401,6.797377541681795,6.364972624581027,5000,0
baseline,baseline,y_z_z,6,ok,260.9603612567652,20,50,5000,30,0.0,12.372455196985134,5627.2604524923545,13.664008798794178,13.32926777094375,17.613622751860138,0.08218128740067726,8.124565074262625,7.085679487373851,5000,0
baseline,baseline,y_z_z,7,ok,260.9603612567652,20,50,5000,30,0.0,12.039083166435313,5248.942796809511,12.227336555498677,12.934167707000269,17.109415645688056,0.07702424004261721,8.210810369177647,7.006625116314643,5000,0
baseline,baseline,y_z_z,8,ok,260.9603612567652,20,50,5000,30,0.0,12.9105934815167,5768.1117017655715,13.323566781813328,13.98393463795913,18.38554772777801,0.08308256976479629,8.504792202209888,7.625656973627728,5000,0
baseline,baseline,y_z_z,9,ok,260.9603612567652,20,50,5000,30,0.0,11.9987526495458,5037.409051046027,11.683065711119376,12.886534327033607,17.107245414128425,0.08317760194141025,8.381765498414095,7.075473200594044,5000,0
baseline,baseline,x_z_z,0,ok,281.2859780300304,20,50,5000,30,0.0,12.473480962417828,5388.978828695463,12.870294093212145,13.452614031297115,17.7812556025439,0.06984773555488372,8.541060784844237,7.263172393302128,5000,0
baseline,baseline,x_z_z,1,ok,281.2859780300304,20,50,5000,30,0.0,12.050812920035296,5349.472184436839,12.570495504594529,13.043140441305562,17.14609273577963,0.0690139102834908,7.620780619400334,7.131373818244564,5000,0
baseline,baseline,x_z_z,2,ok,281.2859780300304,20,50,5000,30,0.0,12.135587300411041,5021.255097420238,13.427911188857607,13.060199560215109,17.268179160503582,0.07029332919610759,8.523361975592632,7.191343356559021,5000,0
baseline,baseline,x_z_z,3,ok,281.2859780300304,20,50,5000,30,0.0,11.911525071299486,4933.2549985199885,12.696598837876575,12.7543510337748,16.967392497051506,0.0703468653765004,6.8807223055882805,6.792162973861631,5000,0
